,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,pru,N/A,N/A,N/A,N/A,N/A,97.55,19.29,0.66,0.90,3.56,11.92,0.60,5.28,133.62,27230000000.0,27230000000.0,8.70,0.95,0.44,3.38,0.44,20540000000.0,3.38,2150000000.0,4.70,64.50,26.00,57680000000.0,127.33,44460000000.0,1.37,99.32,22940000000.0,1.44,0.18,66.10,2730000.0,1.10,0.60,3020000.0,N/A
1,N/A,N/A,dhi,N/A,N/A,N/A,N/A,N/A,72.78,17.96,1.10,1.88,6.11,10.23,5.93,11.66,25.79,13390000000.0,13390000000.0,12.66,1.03,1.44,13.39,1.44,1760000000.0,13.39,569800000.0,1.56,12.90,38.20,665800000.0,1.82,3950000000.0,8.12,14.78,564400000.0,1.83,10.68,85.40,13720000.0,3.10,4.10,11700000.0,N/A
2,N/A,N/A,px,N/A,N/A,N/A,N/A,N/A,168.90,21.52,2.94,7.02,13.85,22.26,8.42,26.84,41.22,44740000000.0,44740000000.0,18.28,2.27,3.73,11.67,3.73,5310000000.0,11.67,1660000000.0,5.65,7.10,8.90,117000000.0,0.41,9400000000.0,1.17,17.41,2840000000.0,0.82,0.13,1.70,4910000.0,3.30,1.70,4940000.0,N/A
3,N/A,N/A,sni,N/A,N/A,N/A,N/A,N/A,121.03,17.15,3.19,7.27,20.18,39.18,16.02,37.08,19.49,10330000000.0,10330000000.0,13.85,1.39,3.85,8.78,3.85,1890000000.0,8.78,540820000.0,3.91,3.50,2.30,154790000.0,1.21,1840000000.0,4.30,9.17,834040000.0,1.27,23.69,72.10,13160000.0,9.30,15.40,12730000.0,N/A
4,N/A,N/A,dg,N/A,N/A,N/A,N/A,N/A,50.42,22.01,1.21,4.34,5.68,9.50,10.63,21.46,63.80,25790000000.0,25790000000.0,17.45,1.56,1.34,11.84,1.34,5800000000.0,11.84,1100000000.0,3.61,13.90,8.80,225120000.0,0.76,2720000000.0,1.57,18.13,1410000000.0,1.58,0.18,93.80,5500000.0,1.80,1.80,5360000.0,N/A
5,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,105.10,15.43,1.57,1.36,10.31,21.78,3.59,8.95,23.92,16680000000.0,16680000000.0,13.97,2.52,2.87,8.05,2.87,2470000000.0,8.05,598000000.0,2.44,12.50,2.30,6000000.0,0.03,7200000000.0,0.79,27.63,1610000000.0,0.52,0.16,64.50,3890000.0,2.80,1.60,4010000.0,N/A
6,N/A,N/A,dgx,N/A,N/A,N/A,N/A,N/A,110.89,20.66,1.39,2.47,6.81,15.21,7.10,13.17,51.92,14300000000.0,14300000000.0,14.29,1.41,1.90,9.78,1.90,2800000000.0,9.78,507000000.0,3.52,41.30,5.30,974000000.0,6.78,4740000000.0,1.14,29.47,906000000.0,0.00,0.36,103.00,13330000.0,6.30,10.30,13150000.0,N/A
7,N/A,N/A,pfe,N/A,N/A,N/A,N/A,N/A,53.26,23.54,4.27,3.11,18.69,30.83,5.69,12.67,7.80,2.1884e+11,2.1884e+11,14.56,5.26,4.46,10.79,4.46,40030000000.0,10.79,9200000000.0,1.44,2.00,4.30,27710000000.0,4.50,36000000000.0,2.44,10.93,14630000000.0,0.86,0.02,49.70,62910000.0,2.80,1.00,74370000.0,N/A
8,N/A,N/A,omc,N/A,N/A,N/A,N/A,N/A,152.94,16.42,1.13,7.22,7.25,12.74,5.92,33.30,60.96,20850000000.0,20850000000.0,15.01,3.14,1.36,9.28,1.36,15320000000.0,9.28,1090000000.0,4.32,1.80,0.90,1530000000.0,6.27,4600000000.0,0.90,9.78,1670000000.0,1.37,0.86,99.40,14330000.0,11.30,5.90,14320000.0,N/A
9,N/A,N/A,wfm,N/A,N/A,N/A,N/A,N/A,1.56,24.32,0.98,3.64,4.05,6.61,10.34,15.00,41.33,13960000000.0,13960000000.0,21.24,1.91,0.93,10.03,0.93,5040000000.0,10.03,605000000.0,1.66,11.30,9.80,776000000.0,2.17,63000000.0,1.40,11.19,1180000000.0,1.45,0.81,85.80,17610000.0,3.00,4.90,17910000.0,N/A
10,N/A,N/A,m,N/A,N/A,N/A,N/A,N/A,140.89,16.58,0.83,4.47,5.33,10.14,8.37,26.44,80.42,29330000000.0,29330000000.0,13.51,1.63,1.05,7.54,1.05,11240000000.0,7.54,1500000000.0,4.21,13.80,0.70,1510000000.0,4.49,7340000000.0,1.52,15.48,2590000000.0,0.72,0.28,90.30,10800000.0,1.80,3.20,14300000.0,N/A
11,N/A,N/A,ben,N/A,N/A,N/A,N/A,N/A,19.85,13.18,3.71,2.63,28.62,37.80,12.11,20.32,13.47,24710000000.0,24710000000.0,13.04,3.52,2.96,7.71,2.96,8440000000.0,7.71,2380000000.0,3.83,8.10,4.10,9580000000.0,15.49,2480000000.0,7.84,19.09,2620000000.0,1.77,37.10,50.70,7470000.0,4.70,1.90,7360000.0,N/A
12,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,29.26,12.82,1.44,1.47,11.87,16.10,0.50,12.27,36.19,15020000000.0,15020000000.0,11.09,1.09,1.41,7.96,1.41,5250000000.0,7.96,1220000000.0,4.09,39.90,7.20,3530000000.0,11.99,3090000000.0,5.36,35.40,3140000000.0,1.90,0.27,64.90,5430000.0,5.10,1.90,5950000.0,N/A
13,N/A,N/A,xyl,N/A,N/A,N/A,N/A,N/A,64.15,19.31,1.74,3.37,9.15,12.58,6.36,16.69,21.08,7330000000.0,7330000000.0,17.67,2.19,1.91,11.73,1.91,1510000000.0,11.73,352000000.0,1.91,30.60,7.60,554000000.0,3.06,1280000000.0,2.37,10.97,433000000.0,1.50,0.54,91.00,2350000.0,2.40,1.40,2970000.0,N/A
14,N/A,N/A,ctl,N/A,N/A,N/A,N/A,N/A,138.96,22.28,0.94,1.15,4.24,14.46,3.22,4.82,31.74,38660000000.0,38660000000.0,12.34,12.55,2.15,5.65,2.15,10180000000.0,5.65,761000000.0,1.35,5.40,1.90,155000000.0,0.28,20520000000.0,0.97,26.11,5140000000.0,0.89,0.51,75.90,40360000.0,9.70,8.10,39570000.0,N/A
15,N/A,N/A,hon,N/A,N/A,N/A,N/A,N/A,54.17,18.96,2.03,4.61,10.89,15.26,8.34,24.57,50.81,83160000000.0,83160000000.0,15.48,1.70,2.09,11.91,2.09,11350000000.0,11.91,4340000000.0,5.46,9.70,4.80,8920000000.0,11.41,9710000000.0,1.44,22.44,4760000000.0,0.78,0.17,81.90,5270000.0,1.70,0.70,4750000.0,N/A
16,N/A,N/A,wdc,N/A,N/A,N/A,N/A,N/A,25.41,12.92,1.32,2.15,10.39,12.02,7.40,17.36,64.58,18320000000.0,18320000000.0,10.35,2.68,1.22,6.15,1.22,4360000000.0,6.15,1560000000.0,6.54,2.40,4.10,5040000000.0,21.83,2340000000.0,2.62,39.94,2470000000.0,1.42,5.76,88.30,4220000.0,2.10,1.80,4000000.0,N/A
17,N/A,N/A,pcar,N/A,N/A,N/A,N/A,N/A,122.56,15.77,1.17,3.39,7.52,11.10,6.60,21.53,54.78,28510000000.0,28510000000.0,13.70,1.06,1.47,10.94,1.47,3050000000.0,10.94,1460000000.0,4.11,38.20,10.30,2710000000.0,7.65,8250000000.0,4.87,18.98,2310000000.0,1.33,2.39,61.80,15420000.0,10.50,4.40,16550000.0,N/A
18,N/A,N/A,lll,N/A,N/A,N/A,N/A,N/A,74.41,16.55,0.79,1.80,5.04,8.80,4.70,10.74,140.68,13250000000.0,13250000000.0,13.77,5.06,1.12,10.42,1.12,1080000000.0,10.42,599000000.0,6.93,38.20,8.30,317000000.0,3.85,3940000000.0,1.87,63.32,1270000000.0,0.82,0.65,87.20,1.40,1.40,1.10,2.60,N/A
19,N/A,N/A,txt,N/A,N/A,N/A,N/A,N/A,87.59,19.92,0.90,2.89,4.56,7.76,4.60,14.76,50.62,16130000000.0,16130000000.0,15.42,0.95,1.14,10.31,1.14,2460000000.0,10.31,646000000.0,2.29,50.60,7.90,561000000.0,2.02,3840000000.0,2.10,15.82,1210000000.0,1.45,0.11,82.00,5000000.0,3.10,2.10,5000000.0,N/A
20,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,86.28,359.33,7.04,6.07,2.01,1.28,0.28,1.70,4.52,15090000000.0,15090000000.0,43.22,3.56,8.05,23.70,8.05,1650000000.0,23.70,37690000.0,0.09,62.40,15.50,13950000.0,0.03,1880000000.0,0.87,5.26,1250000000.0,0.58,1.29,93.80,22970000.0,4.60,5.60,18830000.0,N/A
21,N/A,N/A,blk,N/A,N/A,N/A,N/A,N/A,160.07,18.00,5.27,2.14,30.18,40.33,1.22,12.44,66.38,63540000000.0,63540000000.0,15.27,1.44,5.71,13.36,5.71,10850000000.0,13.36,3360000000.0,19.69,8.70,2.00,40740000000.0,243.84,44270000000.0,1.23,163.84,2800000000.0,1.59,2.28,87.70,1740000.0,3.70,1.40,1860000.0,N/A
22,N/A,N/A,tdc,N/A,N/A,N/A,N/A,N/A,41.55,17.45,1.98,3.69,12.29,16.42,8.78,20.04,17.67,5170000000.0,5170000000.0,13.61,2.60,1.92,9.57,1.92,1480000000.0,9.57,330000000.0,2.14,62.70,7.30,881000000.0,6.20,600000000.0,1.87,10.18,559000000.0,1.21,0.46,103.40,19650000.0,9.80,13.40,20180000.0,N/A
23,N/A,N/A,yum,N/A,N/A,N/A,N/A,N/A,191.25,41.15,3.00,23.18,7.70,14.96,14.48,47.44,29.83,42610000000.0,42610000000.0,22.84,2.32,3.23,15.73,3.23,3600000000.0,15.73,1010000000.0,2.25,9.30,3.70,675000000.0,1.56,3390000000.0,0.78,3.94,2000000000.0,1.11,0.28,80.30,8279999.999999999,1.80,1.90,8250000.0,N/A
24,N/A,N/A,nflx,N/A,N/A,N/A,N/A,N/A,125.71,169.83,6.93,21.09,4.09,6.93,3.29,14.02,96.39,39280000000.0,39280000000.0,206.21,21.38,6.76,85.51,6.76,1750000000.0,85.51,237380000.0,3.84,55.40,23.90,2960000000.0,48.79,2400000000.0,1.84,31.49,147260000.0,0.83,1.92,88.20,3960000.0,2.00,7.80,4660000.0,N/A
25,N/A,N/A,so,N/A,N/A,N/A,N/A,N/A,122.02,17.84,2.10,1.89,11.77,21.65,3.57,10.19,19.96,64900000000.0,64900000000.0,14.25,4.44,3.60,10.50,3.60,7440000000.0,10.50,2120000000.0,2.35,44.70,9.90,1120000000.0,1.23,26120000000.0,0.69,22.04,5620000000.0,0.16,0.03,50.70,29000000.0,4.90,3.20,35790000.0,N/A
26,N/A,N/A,hrl,N/A,N/A,N/A,N/A,N/A,6.50,23.66,1.61,3.99,6.96,10.76,11.94,18.04,36.02,14900000000.0,14900000000.0,20.84,3.22,1.57,12.90,1.57,1560000000.0,12.90,661160000.0,2.44,28.60,1.50,624400000.0,2.36,250000000.0,2.65,14.54,917580000.0,1.33,49.31,32.70,5640000.0,5.20,4.20,4720000.0,N/A
27,N/A,N/A,kss,N/A,N/A,N/A,N/A,N/A,78.88,14.79,0.66,2.13,4.56,8.85,7.36,14.64,94.67,16150000000.0,16150000000.0,12.70,1.55,0.85,6.24,0.85,6920000000.0,6.24,869000000.0,4.28,1.60,1.30,1200000000.0,6.04,4750000000.0,1.95,29.79,1950000000.0,1.42,3.07,101.20,24380000.0,5.40,12.10,24450000.0,N/A
28,N/A,N/A,dd,N/A,N/A,N/A,N/A,N/A,80.73,18.75,1.76,4.77,9.48,12.83,5.80,21.92,37.28,70100000000.0,70100000000.0,14.91,2.01,2.07,11.72,2.07,13020000000.0,11.72,3190000000.0,3.50,28.40,9.40,3750000000.0,4.14,10380000000.0,1.80,13.88,4010000000.0,1.39,0.08,67.70,10950000.0,1.70,1.20,12670000.0,N/A
29,N/A,N/A,rtn,N/A,N/A,N/A,N/A,N/A,53.82,13.84,1.33,3.10,9.73,13.49,7.02,20.05,74.15,31890000000.0,31890000000.0,13.87,1.75,1.41,9.35,1.41,5530000000.0,9.35,2100000000.0,7.07,7.60,4.00,4139999999.9999995,13.57,5330000000.0,1.82,31.73,1570000000.0,0.69,0.48,78.30,4360000.0,2.90,1.40,4730000.0,N/A
30,N/A,N/A,coh,N/A,N/A,N/A,N/A,N/A,35.30,21.46,2.28,3.88,10.78,18.86,12.60,18.90,15.71,8800000000.0,8800000000.0,18.43,2.93,2.04,8.76,2.04,3300000000.0,8.76,465940000.0,1.68,53.80,15.50,2020000000.0,7.32,896700000.0,4.19,9.20,1070000000.0,0.65,0.91,89.30,19720000.0,4.80,7.20,18550000.0,N/A
31,N/A,N/A,biib,N/A,N/A,N/A,N/A,N/A,5.00,29.52,9.55,8.29,32.37,43.38,20.00,31.54,42.92,95120000000.0,95120000000.0,21.04,1.46,9.39,18.94,9.39,8530000000.0,18.94,3280000000.0,13.84,71.40,20.00,2150000000.0,9.15,583930000.0,2.70,49.60,3570000000.0,0.58,0.10,92.90,2540000.0,1.70,1.10,3040000.0,N/A
32,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,47.88,9.93,1.24,1.47,12.97,20.82,2.36,16.80,49.73,31820000000.0,31820000000.0,10.03,2.38,1.43,6.80,1.43,8360000000.0,6.80,2880000000.0,6.41,9.40,6.80,4370000000.0,10.07,8920000000.0,0.37,42.97,6400000000.0,1.02,2.97,64.90,4860000.0,2.00,1.20,5030000.0,N/A
33,N/A,N/A,emc,N/A,N/A,N/A,N/A,N/A,24.97,21.01,2.14,2.57,10.47,17.20,6.05,11.97,12.20,51620000000.0,51620000000.0,12.48,1.20,2.10,9.16,2.10,15250000000.0,9.16,2570000000.0,1.26,35.70,2.40,6450000000.0,3.32,5500000000.0,1.20,10.53,6260000000.0,1.31,0.20,83.10,29110000.0,2.30,1.50,27920000.0,N/A
34,N/A,N/A,chrw,N/A,N/A,N/A,N/A,N/A,106.80,20.00,0.67,8.61,3.40,5.68,15.42,45.40,92.95,10360000000.0,10360000000.0,17.37,1.73,0.76,12.58,0.76,2010000000.0,12.58,463000000.0,3.15,14.30,5.00,135780000.0,0.93,1130000000.0,1.12,7.26,599380000.0,0.42,0.70,82.90,16000000.0,9.50,11.00,16010000.000000002,N/A
35,N/A,N/A,cat,N/A,N/A,N/A,N/A,N/A,227.62,13.90,0.96,3.09,7.11,10.62,4.35,20.85,89.33,85850000000.0,85850000000.0,18.24,1.42,1.57,9.61,1.57,14790000000.0,9.61,3880000000.0,6.25,20.50,4.10,6220000000.0,10.30,38780000000.0,1.45,28.10,7430000000.0,0.95,0.25,66.10,28760000.0,6.30,4.80,31350000.0,N/A
36,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,229.33,17.51,0.37,3.32,2.21,4.27,6.49,20.40,169.99,12160000000.0,12160000000.0,14.16,1.02,0.62,12.79,0.62,2990000000.0,12.79,436000000.0,3.70,17.20,13.30,74100000.0,0.65,5060000000.0,1.03,19.36,469100000.0,1.31,34.46,3.30,1550000.0,2.10,2.10,1540000.0,N/A
37,N/A,N/A,gps,N/A,N/A,N/A,N/A,N/A,46.96,13.60,0.99,5.64,7.61,12.34,16.57,41.96,38.04,16320000000.0,16320000000.0,12.66,1.49,1.00,6.30,1.00,6290000000.0,6.30,1240000000.0,2.86,8.10,3.10,1230000000.0,2.96,1350000000.0,1.89,6.87,1830000000.0,1.33,40.80,56.10,23110000.0,5.00,10.50,20560000.0,N/A
